"Age","Distance","Club","Year","Gender","Place","Name"
21,5550,"USAB",2000,NA,1,"Sarabeth E. Schweitzer"
23,5390,"CONN",2000,NA,2,"Jessica Knapp"
22,5330,"UHM",2000,NA,3,"Jodi K. Jackson"
24,5080,"EMP",2000,NA,4,"Emily S. Peters"
23,4875,"PNA",2000,NA,5,"Aurora Tallacksen"
24,4795,"EMP",2000,NA,6,"Rebecca Wassner"
24,4745,"SWM",2000,NA,7,"Lauralyn M. Beckley"
24,4735,"EMP",2000,NA,8,"Andrea Montano"
24,4625,"NEM",2000,NA,9,"Sandie Stringfellow"
20,4570,"CRAQ",2000,NA,10,"Gina W. Cheuk"
22,4525,"EMP",2000,NA,11,"Alexandra Stokman"
23,4500,"NEM",2000,NA,12,"Laurel Bernini"
24,4455,"UCLA",2000,NA,13,"Kristin Goldthorpe"
23,4415,"DAM",2000,NA,14,"Heather M. Cockburn"
24,4345,"NEM",2000,NA,15,"Kristie Kleiner"
21,4335,"Dam",2000,NA,16,"Catherine R. Darst"
21,4335,"DAM",2000,NA,17,"Aimee J. Pfohl"
19,4305,"DAM",2000,NA,18,"Carol M. Humphrey"
21,4290,"DAM",2000,NA,19,"Marissa G. Wong"
23,4285,"UCLA",2000,NA,20,"Lura A. Hess"
23,4280,"USAB",2000,NA,21,"Heather J. Baker"
22,4280,"DAM",2000,NA,22,"Charissa H. So"
19,4255,"DAM",2000,NA,23,"Christina M. Spaulding"
24,4175,"NEM",2000,NA,24,"Leslie Allen"
20,4135,"DAM",2000,NA,25,"Beck R. Smith"
24,4115,"EMP",2000,NA,26,"Amber Lantz"
20,4105,"DAM",2000,NA,27,"Ani L. Hanoian"
20,4060,"DAM",2000,NA,28,"Kelly Vial"
19,4060,"DAM",2000,NA,29,"Jamie A. Kunihara"
21,4030,"DAM",2000,NA,30,"Angela M. Zankich"
21,4000,"DAM",2000,NA,31,"Kate M. Piekkarainen"
24,3990,"DAM",2000,NA,32,"Rachel P. White"
24,3975,"DAM",2000,NA,33,"Nina Wurzburger"
21,3970,"DAM",2000,NA,34,"Monica R. Burns"
24,3960,"DAM",2000,NA,35,"Marlia M. Braun"
23,3940,"NEM",2000,NA,36,"Alia Aly"
22,3910,"AKMS",2000,NA,37,"Alexis Fair"
24,3900,"EMP",2000,NA,38,"Liv Gjestvang"
20,3885,"SMMM",2000,NA,39,"Caroline M Chow"
24,3840,"DAM",2000,NA,40,"Aysha M. Taff"
22,3825,"DAM",2000,NA,41,"Lenya A. Hanolan"
24,3790,"DAM",2000,NA,42,"Elaine Cham"
24,3770,"DAM",2000,NA,43,"Kelly Comfort"
22,3770,"CRUZ",2000,NA,44,"Mollie M. Vrolyks"
24,3745,"NEM",2000,NA,45,"Catherine Bishop"
24,3745,"DSSM",2000,NA,46,"Marna M. Kagele"
24,3740,"DAM",2000,NA,47,"Kristin R. Matthews"
21,3720,"DAM",2000,NA,48,"Monica M. Whent"
21,3670,"DAM",2000,NA,49,"Jerrica E. Spozarsky-Brow"
22,3665,"EMP",2000,NA,50,"Devon McGoldrick"
23,3625,"NEM",2000,NA,51,"Kara Daly"
20,3570,"DAM",2000,NA,52,"Megan C. LaGreca"
24,3555,"NEM",2000,NA,53,"Katie Davenport"
22,3510,"DAM",2000,NA,54,"Erin Koalska"
20,3490,"DAM",2000,NA,55,"Adelyne M. Satyadi"
20,3475,"DAM",2000,NA,56,"Theresa M. O'Connell"
23,3470,"DAM",2000,NA,57,"Levic Snezana"
24,3465,"EMP",2000,NA,58,"Elizabeth Fels"
24,3350,"DAM",2000,NA,59,"Kiby J. Hornof"
24,3245,"MVM",2000,NA,60,"Noel Daly"
19,3240,"ISF",2000,NA,61,"Rebecca Dykema"
20,3230,"DAM",2000,NA,62,"Justine Eckersley"
19,3185,"EMP",2000,NA,63,"Alina Gawronski"
24,3120,"DAM",2000,NA,64,"Anne E. Schlosser"
22,3110,"DAM",2000,NA,65,"Jessica DePrimo"
20,3035,"DAM",2000,NA,66,"Heather Maccoun"
24,3025,"DAM",2000,NA,67,"Karen Shapiro"
23,3025,"DAM",2000,NA,68,"Teresa J. Priesbe"
24,3000,"NEM",2000,NA,69,"Terri Tremblay"
20,2970,"DAM",2000,NA,70,"Jeanne Williams"
19,2930,"OREG",2000,NA,71,"Heather A. Bergreen"
22,2925,"MACO",2000,NA,72,"Karen E. Gaffney"
23,2715,"SLAM",2000,NA,73,"Margaret A. Grady"
29,5420,"SCAM",2000,NA,1,"Alison Zamanian"
28,5400,"Wild",2000,NA,2,"Wendy S. Knox"
29,5000,"NCMS",2000,NA,3,"Heather M. Hageman"
27,4895,"EMP",2000,NA,4,"Grace S. Cornelius"
25,4830,"ISF",2000,NA,5,"Andrea Parenteau"
27,4800,"NEM",2000,NA,6,"Kari Andersson"
28,4780,"NEM",2000,NA,7,"Lynn Kelley"
29,4750,"NEM",2000,NA,8,"Susan Knight"
26,4700,"NEM",2000,NA,9,"Katherine Veazey"
27,4675,"NEM",2000,NA,10,"Melissa Braisted"
29,4475,"NEM",2000,NA,11,"Stephanie Morawski"
28,4470,"EMP",2000,NA,12,"Colleen Alderson"
28,4470,"UCLA",2000,NA,13,"Anna Pingel"
29,4465,"NEM",2000,NA,14,"Catherine A. Foley"
29,4455,"TAM",2000,NA,15,"Heather R. Lugassy"
26,4415,"NEM",2000,NA,16,"Corinne Murphy"
29,4395,"GCMT",2000,NA,17,"Angie L. Shook"
27,4300,"WILD",2000,NA,18,"Margo Lynch"
29,4280,"TAM",2000,NA,19,"Christine O'Hanlon"
29,4275,"NIAG",2000,NA,20,"Katie P. Hettrich"
29,4260,"EMP",2000,NA,21,"Stephanie Dorsey"
25,4240,"DAM",2000,NA,22,"Astrid Leonie Wynhaven"
25,4225,"NEM",2000,NA,23,"Brooke O'Connor"
25,4200,"NEM",2000,NA,24,"Kate Lamann"
25,4175,"NEM",2000,NA,25,"Kendra Garrow"
28,4150,"WAWA",2000,NA,26,"Stefani Stewart"
26,4150,"NEM",2000,NA,27,"Sara Berry"
28,4140,"LAM",2000,NA,28,"Ursula Hester"
29,4135,"NEM",2000,NA,29,"Amanda Martin"
26,4120,"NEM",2000,NA,30,"Molly Van Houweling"
26,4105,"EMP",2000,NA,31,"Carly Berwick"
28,4100,"NEM",2000,NA,32,"Becky Lussier"
28,4075,"DAM",2000,NA,33,"Jennifer D. Clark Colfer"
27,4025,"DAM",2000,NA,34,"Michelle L. Samonek-Potter"
28,4020,"DAM",2000,NA,35,"Jaimi D. Doan"
27,4010,"NEM",2000,NA,36,"Jessica Berger"
27,4010,"ISF",2000,NA,37,"Heather Hedrick"
27,3995,"DAM",2000,NA,38,"Erika M. Kegel"
28,3965,"NEM",2000,NA,39,"Heather Barna"
27,3950,"NEM",2000,NA,40,"Kerry Whalen"
25,3945,"NEM",2000,NA,41,"Bea Bornheimer"
26,3930,"NEM",2000,NA,42,"Jodi Cassidy"
25,3925,"LAM",2000,NA,43,"Lori A. Callaghen"
28,3918,"NEM",2000,NA,44,"Katherine A. Rink"
29,3900,"DAM",2000,NA,45,"Kai-Ching Cha"
29,3890,"ISF",2000,NA,46,"Alexandra Weymouth"
27,3875,"ISF",2000,NA,47,"Tracy Knight"
25,3875,"NEM",2000,NA,48,"Elizabeth Boehm"
29,3805,"DAM",2000,NA,49,"Carrie K. Coit"
25,3785,"EMP",2000,NA,50,"Gretchen Bates"
25,3775,"NEM",2000,NA,51,"Becky Kupcinckas"
25,3770,"NEM",2000,NA,52,"Juli Jones"
26,3770,"RINC",2000,NA,53,"Nianh Nicholas"
28,3765,"EMP",2000,NA,54,"Jen Light"
26,3760,"DAM",2000,NA,55,"Anna C. Ziedins"
27,3715,"EMP",2000,NA,56,"Sylvia Burlot"
28,3715,"NCMS",2000,NA,57,"Lydia Amerson"
26,3630,"ISF",2000,NA,58,"Amy Kalscheur"
27,3605,"NEM",2000,NA,59,"Kristen O'Connor"
25,3585,"DAM",2000,NA,60,"Nancy S. Halpin"
25,3555,"EMP",2000,NA,61,"Erika Maresca"
27,3545,"DAM",2000,NA,62,"Pamela A. Lord"
29,3495,"DAM",2000,NA,63,"Danielle Widemann"
29,3490,"SPM",2000,NA,64,"Catherine L. Quigley"
29,3450,"UCLA",2000,NA,65,"Gian-Claudia Sciara"
27,3430,"NEM",2000,NA,66,"Aileene Palm"
25,3325,"PNA",2000,NA,67,"Kareena M. King"
28,3310,"SANR",2000,NA,68,"Jennifer A. Teisinger"
28,3305,"NEM",2000,NA,69,"Jennifer Rein"
25,3250,"DAM",2000,NA,70,"Anne Marie Dubinsky"
26,3240,"FHAM",2000,NA,71,"Janis Hachiya"
27,3240,"NEM",2000,NA,72,"Heather Scranton"
28,3220,"NEM",2000,NA,73,"Edith Gardner"
27,3200,"DAM",2000,NA,74,"Nathalie Lavoie"
27,3200,"DAM",2000,NA,75,"Koren P. Motekaitis"
25,3175,"DSSM",2000,NA,76,"Gwen Maichen"
27,3125,"NMMS",2000,NA,77,"Tracey Watterson"
25,3115,"EMP",2000,NA,78,"Susan Saleeb"
26,3095,"SMMM",2000,NA,79,"Heather Rangel"
28,3085,"ISF",2000,NA,80,"Mary Pieczko"
27,3075,"AKMS",2000,NA,81,"Amanda Welsh"
25,3025,"AKMS",2000,NA,82,"Dawn Clark"
28,2925,"NEM",2000,NA,83,"Kristen M. Phillips"
27,2905,"DAM",2000,NA,84,"Wendy Ma"
25,2850,"NEM",2000,NA,85,"Katie Vaillancourt"
29,2735,"NEM",2000,NA,86,"Sarah Brown"
29,2675,"SANR",2000,NA,87,"Daleen C. Poulson"
29,2650,"NEM",2000,NA,88,"Alison Pyott"
28,2600,"NEM",2000,NA,89,"Heidi Duehmig"
29,1550,"MOVY",2000,NA,90,"Lori E. Werdin-Kennico"
34,5000,"STAN",2000,NA,1,"Martie McKinney"
34,4800,"ISF",2000,NA,2,"Melissa Kerker"
32,4775,"DSSM",2000,NA,3,"Marnie Dwyer"
33,4730,"EMP",2000,NA,4,"Jill Lemone"
33,4700,"ISF",2000,NA,5,"Ann Welage"
31,4685,"SDSM",2000,NA,6,"Nancy A. North"
31,4675,"PNA",2000,NA,7,"Karen Leahy"
30,4675,"NEM",2000,NA,8,"Michele Fox"
30,4675,"SDSM",2000,NA,9,"Jeni E. Buys"
30,4635,"NEM",2000,NA,10,"Robin Hewitt"
30,4615,"NEM",2000,NA,11,"Carol Prescott"
31,4605,"ISF",2000,NA,12,"Diana Philippi"
32,4600,"ISF",2000,NA,13,"Amy Krauss"
33,4580,"STAN",2000,NA,14,"Elizabeth D. Lucco"
31,4570,"NEM",2000,NA,15,"Jessie Toland"
30,4570,"NEM",2000,NA,16,"Christine Lindstrom"
33,4550,"CRUZ",2000,NA,17,"Maureen S. Chalmers"
33,4495,"NEM",2000,NA,18,"Sharon Kuong"
34,4490,"NEM",2000,NA,19,"Catherine D. Payson"
