85-89,6,Vladimir,Ouchakof,I,89,CONN,053G-01S5J,1320
60-64,102,Ken,Rausch,J,63,PMST,5437-0617K,1400
30-34,66,Nathan,Hagglund,C,34,NEM,023R-084SN,1600
30-34,65,Bryan,Beary,T,31,AGUA,063T-02ZBV,1700
75-79,21,Charles,Martin,A,77,NEM,023V-083W5,1700
90-94,2,Charles,Bushey,L,91,OREG,373V-0262N,1705
85-89,5,John,Collings,J,85,MARY,093R-01V2W,1750
80-84,13,Finley,Marshall,D,82,DAM,383G-07UWE,1760
70-74,48,William,Ragan,E,70,FMM,143S-02SVK,1800
70-74,47,Ken,Fligsten,E,74,MARY,093T-065VD,1835
65-69,79,Russ,Desserich,W,69,INDY,1636-02AC5,1850
80-84,12,Captane,Thomson,P,82,DAM,3837-03J9G,1890
55-59,172,Daniel,Kossmann,J,56,NEM,023J-085H1,1935
55-59,171,Richard,Davis,A,59,AGUA,063U-07XCK,1950
65-69,78,Richard,Smith,W,66,NEM,023W-046VX,1950
65-69,77,Robert,Cox,K,69,ARIZ,483R-085FY,1985
75-79,20,Joseph,O'Flaherty,N,78,DAM,383S-040H0,2065
65-69,75,David,Rocke,M,66,DAM,3833-06MY1,2145
35-39,91,Frederick,Felten,F,39,SCA,333A-07N8K,2150
70-74,46,Gerald,Bowes,W,73,DAM,383F-03GYE,2150
70-74,45,Tom,Jones,A,71,NEM,023D-033NA,2160
75-79,19,Joseph,Wilson,W,78,SKY,413Z-01WJT,2215
75-79,17,Robert,Crummey,O,76,DAM,383P-03JFG,2230
80-84,10,Thomas,Weber,W,82,NIAG,043N-01X8P,2245
85-89,3,Robert,Williams,M,85,FMM,143Y-02RDH,2290
80-84,9,Charles,Schlegel,H,82,FMM,143B-02RE3,2300
30-34,62,Anders,Stachelek,J,31,TNYA,063J-0834C,2310
85-89,2,Robert,Sigersmith,E,88,NEM,023C-02RUA,2325
55-59,168,Gregory,Rotole,S,58,FMM,143Z-02RFK,2350
65-69,72,Mervyn,Hough,H,68,MINN,3034-024Y3,2370
65-69,71,Steven,McDanal,K,69,CMS,323U-030A7,2375
65-69,70,Juan,Brummett,H,67,COM,5336-07YWG,2400
70-74,44,Trent,Toensing,D,73,NEM,023A-0346R,2400
